Ensembl gene ID,Description_Clarke.et.al._2
ENSOARG00000011345,"pyridoxal (pyridoxine, vitamin B6) kinase"
ENSOARG00000011374,hypothetical protein PANDA_002934
ENSOARG00000011375,Blood vessel epicardial substance
ENSOARG00000011377,cystatin B
ENSOARG00000011379,LOW QUALITY PROTEIN: E3 ubiquitin/ISG15 ligase TRIM25-like
ENSOARG00000011382,trafficking protein particle complex subunit 2
ENSOARG00000011390,PRAME
ENSOARG00000011403,similar to ribosomal protein L21
ENSOARG00000011405,cystatin B
ENSOARG00000011409,
ENSOARG00000011410,hypothetical protein M91_20277
ENSOARG00000011412,
ENSOARG00000011419,PRAME family member 8-like
ENSOARG00000011420,uncharacterized membrane protein C19orf24 homolog
ENSOARG00000011423,PAG17 protein
ENSOARG00000011425,
ENSOARG00000011429,biogenesis of lysosomal organelles complex 1 subunit 3
ENSOARG00000011430,translocase of outer mitochondrial membrane 5
ENSOARG00000011431,
ENSOARG00000011443,soma ferritin
ENSOARG00000011446,glycine N-phenylacetyltransferase
ENSOARG00000011454,optic atrophy 3 protein
ENSOARG00000011458,PRAME family member 12
ENSOARG00000011471,olfactory receptor family 8 subfamily K member 3 (gene/pseudogene)
ENSOARG00000011472,heterogeneous nuclear ribonucleoprotein D-like
ENSOARG00000011473,unnamed protein product
ENSOARG00000011476,binder of sperm protein homolog 1-like
ENSOARG00000011480,VN1R4
ENSOARG00000011487,hypothetical protein M91_17770
ENSOARG00000011488,cadherin-related family member 3
ENSOARG00000011490,
ENSOARG00000011496,pregnancy-associated glycoprotein-2 precursor
ENSOARG00000011497,sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4
ENSOARG00000011499,similar to ribosomal protein L17
ENSOARG00000011507,C7orf55-LUC7L2 protein
ENSOARG00000011509,fibrosin-1-like protein
ENSOARG00000011511,PRAME family member 7-like
ENSOARG00000011516,olfactory receptor 6C68-like
ENSOARG00000011520,family with sequence similarity 57 member A
ENSOARG00000011524,
ENSOARG00000011528,
ENSOARG00000011534,
ENSOARG00000011538,"VPS33A, CORVET/HOPS core subunit"
ENSOARG00000011547,forkhead box F1
ENSOARG00000011548,endogenous retrovirus group K member 25 Env polyprotein-like
ENSOARG00000011549,protein NYNRIN-like
ENSOARG00000011555,LOW QUALITY PROTEIN: class E basic helix-loop-helix protein 23
ENSOARG00000011556,pregnancy-associated glycoprotein 2-like
ENSOARG00000011557,WAS protein family homolog 1
ENSOARG00000011558,LOW QUALITY PROTEIN: polypeptide N-acetylgalactosaminyltransferase 9
ENSOARG00000011561,membrane magnesium transporter 1
ENSOARG00000011567,PRAME family member 9/15-like
ENSOARG00000011576,PRAME family member 8-like
ENSOARG00000011585,zinc finger protein 501-like
ENSOARG00000011590,trafficking protein particle complex 10
ENSOARG00000011591,vomeronasal 1 receptor 2
ENSOARG00000011598,Protein DDX26B
ENSOARG00000011605,ribosomal protein L9
ENSOARG00000011609,olfactory receptor family 8 subfamily K member 3 (gene/pseudogene)
ENSOARG00000011611,High mobility group protein B1
ENSOARG00000011613,O-acetyl-ADP-ribose deacetylase MACROD2
ENSOARG00000011614,polypeptide N-acetylgalactosaminyltransferase 9-like
ENSOARG00000011615,
ENSOARG00000011616,eukaryotic translation elongation factor 1 alpha 1
ENSOARG00000011620,O-acetyl-ADP-ribose deacetylase MACROD2-like
ENSOARG00000011625,
ENSOARG00000011628,Golgi-associated plant pathogenesis-related protein 1
ENSOARG00000011629,ribosomal protein S10
ENSOARG00000011637,protein DDX26B-like
ENSOARG00000011641,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated"
ENSOARG00000011643,empty spiracles homeobox 1
ENSOARG00000011646,olfactory receptor 6C76-like
ENSOARG00000011647,
ENSOARG00000011651,
ENSOARG00000011657,
ENSOARG00000011663,
ENSOARG00000011664,"SUMO/sentrin peptidase family member, NEDD8 specific"
ENSOARG00000011665,zinc finger protein 114
ENSOARG00000011667,Olfactory receptor 12
ENSOARG00000011672,periodic tryptophan protein 2 homolog
ENSOARG00000011677,BRCA2 and CDKN1A-interacting protein
ENSOARG00000011678,rab11 family-interacting protein 5
ENSOARG00000011681,olfactory receptor 2S2-like
ENSOARG00000011683,
ENSOARG00000011684,uncharacterized protein C16orf95 homolog
ENSOARG00000011687,
ENSOARG00000011693,capping actin protein of muscle Z-line alpha subunit 2
ENSOARG00000011700,LOW QUALITY PROTEIN: guanylate cyclase 2G-like
ENSOARG00000011701,transmembrane protein 8B
ENSOARG00000011708,secreted seminal-vesicle Ly-6 protein 1-like
ENSOARG00000011711,LOC102724023
ENSOARG00000011714,LOW QUALITY PROTEIN: dimethylaniline monooxygenase [N-oxide-forming] 5-like
ENSOARG00000011722,"LOW QUALITY PROTEIN: glutamate receptor ionotropic, NMDA 2D"
ENSOARG00000011733,tetratricopeptide repeat protein 16
ENSOARG00000011734,F-box only protein 31
ENSOARG00000011736,
ENSOARG00000011738,inducible T-cell costimulator ligand
ENSOARG00000011755,hypothetical protein M91_02466
ENSOARG00000011763,40S ribosomal protein S15
ENSOARG00000011765,olfactory receptor family 8 subfamily K member 3 (gene/pseudogene)
ENSOARG00000011773,DNA (cytosine-5)-methyltransferase 3-like
ENSOARG00000011776,olfactory receptor 4D11-like
ENSOARG00000011777,LOW QUALITY PROTEIN: uncharacterized protein LOC106990533
ENSOARG00000011781,OR49
ENSOARG00000011783,mesoderm posterior protein 2
ENSOARG00000011788,ATP-sensitive inward rectifier potassium channel 14
ENSOARG00000011790,WD repeat-containing protein 49-like
ENSOARG00000011791,hypothetical protein M91_02465
ENSOARG00000011795,olfactory receptor 4D11
ENSOARG00000011805,ribosomal protein lateral stalk subunit P0
ENSOARG00000011806,thiosulfate sulfurtransferase (rhodanese)-like domain containing 3
ENSOARG00000011807,uncharacterized protein LOC102412797
ENSOARG00000011813,
ENSOARG00000011815,C1q and tumor necrosis factor related protein 3
ENSOARG00000011821,transcriptional adapter 2-beta
ENSOARG00000011822,"protein tyrosine phosphatase, receptor type G"
ENSOARG00000011847,
ENSOARG00000011849,collagen type XIX alpha 1 chain
ENSOARG00000011851,
ENSOARG00000011855,hybrid integrin beta 3 subunit precursor
ENSOARG00000011857,prostaglandin F synthase 1
ENSOARG00000011861,
ENSOARG00000011862,hypothetical protein M91_02461
ENSOARG00000011871,
ENSOARG00000011872,
ENSOARG00000011877,unnamed protein product
ENSOARG00000011896,protein LIAT1
ENSOARG00000011899,
ENSOARG00000011903,
ENSOARG00000011907,
ENSOARG00000011908,ring finger protein 135
ENSOARG00000011911,bis(5'-adenosyl)-triphosphatase
ENSOARG00000011912,olfactory receptor family 8 subfamily J member 3
ENSOARG00000011916,high mobility group protein B1
ENSOARG00000011920,STEAP family member 1
ENSOARG00000011924,collagen type XIX alpha 1 chain
ENSOARG00000011929,
ENSOARG00000011937,rhox homeobox family member 1-like
ENSOARG00000011945,elastin
ENSOARG00000011951,hypothetical protein CB1_001815021
ENSOARG00000011956,hypothetical protein M91_18754
ENSOARG00000011963,protein SMG5-like
ENSOARG00000011964,
ENSOARG00000011976,olfactory receptor 2T8-like
ENSOARG00000011979,
ENSOARG00000011980,TPA: carcinoembryonic antigen-related cell adhesion molecule 1-like
ENSOARG00000011982,LOW QUALITY PROTEIN: 40S ribosomal protein SA-like
ENSOARG00000011994,neuralized-like protein 4
ENSOARG00000012000,
ENSOARG00000012004,
ENSOARG00000012009,T-cell receptor alpha chain V region 2B4
ENSOARG00000012019,
ENSOARG00000012022,
ENSOARG00000012024,
ENSOARG00000012027,phospholipid-transporting ATPase FetA-like
ENSOARG00000012028,
ENSOARG00000012029,paired related homeobox 1
ENSOARG00000012030,monoacylglycerol O-acyltransferase 2
ENSOARG00000012034,
ENSOARG00000012037,coronin 2A
ENSOARG00000012038,
ENSOARG00000012039,EF-hand calcium-binding domain-containing protein 13
ENSOARG00000012041,olfactory receptor family 8 subfamily J member 3
ENSOARG00000012043,pepsin A
ENSOARG00000012047,guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12-like
ENSOARG00000012049,olfactory receptor family 2 subfamily L member 2
ENSOARG00000012055,hypoxanthine-guanine phosphoribosyltransferase
ENSOARG00000012056,NADH:ubiquinone oxidoreductase complex assembly factor 4
ENSOARG00000012058,olfactory receptor family 8 subfamily J member 3
ENSOARG00000012063,bicaudal D-related protein 1-like
ENSOARG00000012071,
ENSOARG00000012073,uncharacterized protein LOC106992133
ENSOARG00000012079,60S ribosomal protein L12
ENSOARG00000012081,olfactory receptor family 4 subfamily E member 1 (gene/pseudogene)
ENSOARG00000012084,nascent polypeptide-associated complex subunit alpha
ENSOARG00000012089,keratin-associated protein 10-4-like
ENSOARG00000012093,zinc finger RANBP2-type containing 2
ENSOARG00000012099,putative ribosomal RNA methyltransferase 1
ENSOARG00000012107,neuronal growth regulator 1
ENSOARG00000012109,
ENSOARG00000012110,methyltransferase-like protein 2A
ENSOARG00000012112,hypothetical protein M91_19343
ENSOARG00000012115,pol protein
ENSOARG00000012116,monoacylglycerol O-acyltransferase 2
ENSOARG00000012118,
ENSOARG00000012123,Actin-related protein 2/3 complex subunit 2
ENSOARG00000012124,
ENSOARG00000012125,keratin-associated protein 10-3-like
ENSOARG00000012127,HTR5B
ENSOARG00000012132,ubiquitin-conjugating enzyme E2 D3
ENSOARG00000012133,mitochondrial import receptor subunit TOM7 homolog
ENSOARG00000012140,UTP14A small subunit processome component
ENSOARG00000012142,valyl-tRNA synthetase
ENSOARG00000012150,pregnancy-associated glycoprotein 2-like
ENSOARG00000012151,pirin
ENSOARG00000012157,rab-like protein 2A isoform 4
ENSOARG00000012158,keratin-associated protein 10-4-like
ENSOARG00000012160,uncharacterized protein LOC105607811
ENSOARG00000012177,
ENSOARG00000012178,heparanase
ENSOARG00000012190,LOW QUALITY PROTEIN: keratin-associated protein 10-8-like
ENSOARG00000012196,prostaglandin F synthase 1-like
ENSOARG00000012198,OR1044
ENSOARG00000012199,secretory carrier-associated membrane protein 2
ENSOARG00000012203,BC035947 protein
ENSOARG00000012209,cAMP-dependent protein kinase type I-alpha regulatory subunit
ENSOARG00000012216,heparanase 2 (inactive)
ENSOARG00000012218,LOW QUALITY PROTEIN: keratin-associated protein 10-8-like
ENSOARG00000012222,pyruvate dehydrogenase (lipoamide) beta
ENSOARG00000012224,BMX non-receptor tyrosine kinase
ENSOARG00000012227,protein-cysteine N-palmitoyltransferase HHAT
ENSOARG00000012243,pyrroline-5-carboxylate reductase 3
ENSOARG00000012246,"hypothetical protein, conserved"
ENSOARG00000012248,
ENSOARG00000012253,
ENSOARG00000012254,
ENSOARG00000012257,protein FAM205A-like
ENSOARG00000012270,"hypothetical protein, conserved"
ENSOARG00000012271,
ENSOARG00000012273,Serine/threonine-protein kinase PLK5
ENSOARG00000012275,
ENSOARG00000012277,putative spermatogenesis-associated protein 31D4
ENSOARG00000012279,olfactory receptor 2T12-like
ENSOARG00000012282,
ENSOARG00000012283,small ubiquitin-like modifier 3
ENSOARG00000012287,synaptotagmin 14
ENSOARG00000012288,LOW QUALITY PROTEIN: uncharacterized protein LOC105613868
ENSOARG00000012293,stathmin-like
ENSOARG00000012297,
ENSOARG00000012302,TPA: chromobox homolog 3-like
ENSOARG00000012303,
ENSOARG00000012314,Homeobox engrailed containing protein
ENSOARG00000012317,nuclear pore-associated protein 1-like
ENSOARG00000012319,TNNI3 interacting kinase
ENSOARG00000012320,protein eyes shut homolog
ENSOARG00000012324,LOW QUALITY PROTEIN: RNA-binding protein MEX3D
ENSOARG00000012327,uncharacterized protein LOC101112996
ENSOARG00000012329,TPA: mCG48762-like
ENSOARG00000012338,"glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial"
ENSOARG00000012340,
ENSOARG00000012343,uncharacterized protein LOC107544648
ENSOARG00000012350,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
ENSOARG00000012351,zinc finger CCCH domain-containing protein 14
ENSOARG00000012353,aldo-keto reductase family 1 member B
ENSOARG00000012357,hypothetical protein M91_17112
ENSOARG00000012363,"ATP synthase F(0) complex subunit B1, mitochondrial"
ENSOARG00000012364,WD repeat domain 66
ENSOARG00000012370,putative dimethylaniline monooxygenase [N-oxide-forming] 6
ENSOARG00000012376,olfactory receptor 2T2
ENSOARG00000012387,CMRF35-like molecule 1
ENSOARG00000012391,
ENSOARG00000012396,LOW QUALITY PROTEIN: immunoglobulin omega chain-like
ENSOARG00000012401,ribonuclease A family member 7
ENSOARG00000012404,WD repeat domain 66
ENSOARG00000012411,colipase-like protein 2
ENSOARG00000012416,UV radiation resistance associated
ENSOARG00000012419,
ENSOARG00000012423,CMRF35-like molecule 4
ENSOARG00000012424,ribonuclease P/MRP subunit p14
ENSOARG00000012429,"dynein light chain 1, cytoplasmic"
ENSOARG00000012430,
ENSOARG00000012432,
ENSOARG00000012442,olfactory receptor 2T11-like
ENSOARG00000012443,bcl-2-like protein 1
ENSOARG00000012446,
ENSOARG00000012450,ferritin light chain
ENSOARG00000012453,uncharacterized protein LOC107506677
ENSOARG00000012456,"proteasome 26S subunit, non-ATPase 9"
ENSOARG00000012457,immunoglobulin V lambda chain
ENSOARG00000012458,forkhead box protein B2
ENSOARG00000012459,pancreatic and duodenal homeobox 1
ENSOARG00000012460,olfactory receptor 2T11
ENSOARG00000012462,GS homeobox 1
ENSOARG00000012466,"ubiquinol-cytochrome c reductase, complex III subunit XI"
ENSOARG00000012467,chromatin accessibility complex protein 1
ENSOARG00000012469,LOW QUALITY PROTEIN: ankyrin repeat domain-containing protein 26-like
ENSOARG00000012476,
ENSOARG00000012478,chloride channel protein ClC-Ka
ENSOARG00000012481,
ENSOARG00000012483,CMRF35-like molecule 1
ENSOARG00000012486,polymerase (RNA) I polypeptide D
ENSOARG00000012487,CMRF35-like molecule 4
ENSOARG00000012488,LOW QUALITY PROTEIN: uncharacterized protein C19orf71 homolog
ENSOARG00000012492,epididymal secretory protein E3-beta
ENSOARG00000012493,LOW QUALITY PROTEIN: ankyrin repeat domain-containing protein 26-like
ENSOARG00000012499,zinc finger protein ZFPM1
ENSOARG00000012509,immunoglobulin lambda-IGLV4 variable region
ENSOARG00000012512,CMRF35-like molecule 2
ENSOARG00000012530,olfactory receptor 2H1-like
ENSOARG00000012533,MLV-related proviral Env polyprotein-like
ENSOARG00000012536,ankyrin repeat domain-containing protein 26-like
ENSOARG00000012537,Ig heavy chain Mem5-like
ENSOARG00000012542,cilia- and flagella-associated protein 54
ENSOARG00000012544,uncharacterized protein LOC101111293
ENSOARG00000012547,CMRF35-like molecule 6
ENSOARG00000012548,LOW QUALITY PROTEIN: zinc finger protein 16
ENSOARG00000012550,OOSP1
ENSOARG00000012562,ANG1
ENSOARG00000012563,protein SSX1-like
ENSOARG00000012567,Histone H4
ENSOARG00000012572,Zinc finger protein 630
ENSOARG00000012578,uncharacterized protein LOC102336767
ENSOARG00000012583,lutropin subunit beta
ENSOARG00000012585,Unknown (protein for MGC:159378)
ENSOARG00000012589,uncharacterized protein LOC105602076
ENSOARG00000012590,LOW QUALITY PROTEIN: thyrotropin-releasing hormone receptor-like
ENSOARG00000012595,WW domain containing E3 ubiquitin protein ligase 1
ENSOARG00000012609,RDH12
ENSOARG00000012610,60S ribosomal protein L21
ENSOARG00000012611,olfactory receptor 8H1-like
ENSOARG00000012613,
ENSOARG00000012622,small integral membrane protein 24
ENSOARG00000012637,
ENSOARG00000012639,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like"
ENSOARG00000012641,CMRF35-like molecule 8
ENSOARG00000012644,transmembrane protein 27
ENSOARG00000012650,ladinin-1-like
ENSOARG00000012651,transmembrane protein 27
ENSOARG00000012656,
ENSOARG00000012660,chloride intracellular channel 6
ENSOARG00000012661,sperm acrosome-associated protein 5
ENSOARG00000012665,mucin-19-like
ENSOARG00000012669,INO80 complex subunit B
ENSOARG00000012671,ribonuclease pancreatic
ENSOARG00000012676,LOW QUALITY PROTEIN: zinc finger protein 70
ENSOARG00000012678,TPA: hypothetical protein BOS_5422
ENSOARG00000012680,LOW QUALITY PROTEIN: prostaglandin F synthase 1-like
ENSOARG00000012683,uncharacterized protein LOC102190732
ENSOARG00000012689,cytochrome P450 1A4
ENSOARG00000012690,putative protein TPRXL
ENSOARG00000012696,
ENSOARG00000012697,"LOW QUALITY PROTEIN: POU domain, class 5, transcription factor 1-like"
ENSOARG00000012708,
ENSOARG00000012710,casein kinase I isoform beta
ENSOARG00000012713,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2"
ENSOARG00000012716,histone H2A type 2-A-like
ENSOARG00000012720,interferon regulatory factor 6
ENSOARG00000012722,olfactory receptor 2T3-like
ENSOARG00000012726,
ENSOARG00000012727,
ENSOARG00000012729,zinc finger protein 709
ENSOARG00000012751,orphan sodium- and chloride-dependent neurotransmitter transporter NTT5-like
ENSOARG00000012752,ribonuclease K6
ENSOARG00000012753,olfactory receptor 10AG1-like
ENSOARG00000012760,"POU domain, class 5, transcription factor 1"
ENSOARG00000012763,olfactory receptor 5AK2-like
ENSOARG00000012765,zinc finger protein 709
ENSOARG00000012770,protein fem-1 homolog A
ENSOARG00000012773,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"
ENSOARG00000012776,
ENSOARG00000012779,CXXC-type zinc finger protein 1-like
ENSOARG00000012782,orphan sodium- and chloride-dependent neurotransmitter transporter NTT5-like
ENSOARG00000012791,OR2T27
ENSOARG00000012792,F5/8 type C domain protein
ENSOARG00000012793,MLV-related proviral Env polyprotein-like
ENSOARG00000012794,"acyl-coenzyme A synthetase ACSM2B, mitochondrial"
ENSOARG00000012799,hypothetical protein M91_12600
ENSOARG00000012813,
ENSOARG00000012822,hypothetical protein
ENSOARG00000012823,
ENSOARG00000012824,
ENSOARG00000012825,voltage-dependent L-type calcium channel subunit alpha-1S-like
ENSOARG00000012827,epididymal secretory protein E3-beta-like
ENSOARG00000012829,heterogeneous nuclear ribonucleoprotein A1-like
ENSOARG00000012830,ferritin light chain
ENSOARG00000012832,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L-like
ENSOARG00000012836,early B-cell factor 1
ENSOARG00000012837,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
ENSOARG00000012841,serpin B6-like
ENSOARG00000012842,phospholipid-transporting ATPase IB-like
ENSOARG00000012847,F5/8 type C domain protein
ENSOARG00000012848,phosphoribosyl pyrophosphate amidotransferase
